[ 2026-03-17 23:33:13,110 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-17 23:33:19,062 ] 77 root - INFO - Performed train-test split
[ 2026-03-17 23:33:19,123 ] 94 root - INFO - Train and test files saved successfully
[ 2026-03-17 23:33:19,123 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-17 23:33:19,128 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-17 23:33:19,207 ] 32 root - INFO - Required number of columns:2
[ 2026-03-17 23:33:19,208 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-17 23:33:19,208 ] 32 root - INFO - Required number of columns:2
[ 2026-03-17 23:33:19,208 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-17 23:33:19,362 ] 28 root - INFO - data Validation Completed
[ 2026-03-17 23:33:19,363 ] 31 root - INFO - data Transformation started
[ 2026-03-17 23:33:19,363 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-17 23:33:19,363 ] 65 root - INFO - Starting data transformation
[ 2026-03-17 23:33:19,386 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-17 23:33:19,386 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-17 23:33:19,397 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 23:33:19,400 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 23:33:19,401 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 23:33:19,403 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 23:33:19,404 ] 35 root - INFO - data Transformation completed
[ 2026-03-17 23:33:19,404 ] 37 root - INFO - Model Training sstared
