[ 2026-03-17 23:36:05,197 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-17 23:36:10,510 ] 77 root - INFO - Performed train-test split
[ 2026-03-17 23:36:10,587 ] 94 root - INFO - Train and test files saved successfully
[ 2026-03-17 23:36:10,588 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-17 23:36:10,593 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-17 23:36:10,666 ] 32 root - INFO - Required number of columns:2
[ 2026-03-17 23:36:10,666 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-17 23:36:10,666 ] 32 root - INFO - Required number of columns:2
[ 2026-03-17 23:36:10,667 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-17 23:36:10,859 ] 28 root - INFO - data Validation Completed
[ 2026-03-17 23:36:10,860 ] 31 root - INFO - data Transformation started
[ 2026-03-17 23:36:10,860 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-17 23:36:10,860 ] 65 root - INFO - Starting data transformation
[ 2026-03-17 23:36:10,901 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-17 23:36:10,901 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-17 23:36:10,914 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 23:36:10,917 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 23:36:10,917 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 23:36:10,921 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 23:36:10,923 ] 35 root - INFO - data Transformation completed
[ 2026-03-17 23:36:10,923 ] 37 root - INFO - Model Training sstared
[ 2026-03-17 23:41:17,383 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 23:41:17,439 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 23:41:17,439 ] 132 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_17_2026_23_36_01\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912902572412396, precision_score=0.9888866437664174, recall_score=0.9937055837563452), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9726247987117552, precision_score=0.9648562300319489, recall_score=0.9805194805194806))
[ 2026-03-17 23:41:17,444 ] 42 root - INFO - Model Training artifact created
