[ 2026-03-17 20:06:44,895 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-17 20:06:54,717 ] 77 root - INFO - Performed train-test split
[ 2026-03-17 20:06:54,843 ] 94 root - INFO - Train and test files saved successfully
[ 2026-03-17 20:06:54,843 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-17 20:06:54,860 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-17 20:06:54,985 ] 32 root - INFO - Required number of columns:2
[ 2026-03-17 20:06:54,985 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-17 20:06:54,986 ] 32 root - INFO - Required number of columns:2
[ 2026-03-17 20:06:54,986 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-17 20:06:55,403 ] 28 root - INFO - data Validation Completed
[ 2026-03-17 20:06:55,405 ] 31 root - INFO - data Transformation started
[ 2026-03-17 20:06:55,405 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-17 20:06:55,405 ] 65 root - INFO - Starting data transformation
[ 2026-03-17 20:06:55,439 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-17 20:06:55,439 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-17 20:06:55,458 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 20:06:55,462 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 20:06:55,462 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 20:06:55,466 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 20:06:55,468 ] 35 root - INFO - data Transformation completed
