[ 2026-03-17 23:41:37,889 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-17 23:41:46,987 ] 77 root - INFO - Performed train-test split
[ 2026-03-17 23:41:47,032 ] 94 root - INFO - Train and test files saved successfully
[ 2026-03-17 23:41:47,033 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-17 23:41:47,038 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-17 23:41:47,122 ] 32 root - INFO - Required number of columns:2
[ 2026-03-17 23:41:47,122 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-17 23:41:47,122 ] 32 root - INFO - Required number of columns:2
[ 2026-03-17 23:41:47,122 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-17 23:41:47,247 ] 28 root - INFO - data Validation Completed
[ 2026-03-17 23:41:47,248 ] 31 root - INFO - data Transformation started
[ 2026-03-17 23:41:47,248 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-17 23:41:47,248 ] 65 root - INFO - Starting data transformation
[ 2026-03-17 23:41:47,267 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-17 23:41:47,267 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-17 23:41:47,277 ] 60 root - INFO - Saving object...
[ 2026-03-17 23:41:47,282 ] 66 root - INFO - Object saved successfully
[ 2026-03-17 23:41:47,282 ] 60 root - INFO - Saving object...
[ 2026-03-17 23:41:47,285 ] 66 root - INFO - Object saved successfully
[ 2026-03-17 23:41:47,286 ] 35 root - INFO - data Transformation completed
[ 2026-03-17 23:41:47,286 ] 37 root - INFO - Model Training sstared
[ 2026-03-17 23:41:47,313 ] 90 root - INFO - Training model: Random Forest
[ 2026-03-17 23:41:53,219 ] 90 root - INFO - Training model: Decision Tree
[ 2026-03-17 23:41:54,594 ] 90 root - INFO - Training model: Gradient Boosting
[ 2026-03-17 23:42:12,531 ] 90 root - INFO - Training model: Logistic Regression
[ 2026-03-17 23:42:12,574 ] 90 root - INFO - Training model: AdaBoost
