[ 2026-03-17 22:52:18,459 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-17 22:52:38,796 ] 77 root - INFO - Performed train-test split
[ 2026-03-17 22:52:38,971 ] 94 root - INFO - Train and test files saved successfully
[ 2026-03-17 22:52:38,972 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-17 22:52:38,988 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-17 22:52:39,100 ] 32 root - INFO - Required number of columns:2
[ 2026-03-17 22:52:39,100 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-17 22:52:39,100 ] 32 root - INFO - Required number of columns:2
[ 2026-03-17 22:52:39,100 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-17 22:52:39,766 ] 28 root - INFO - data Validation Completed
[ 2026-03-17 22:52:39,790 ] 31 root - INFO - data Transformation started
[ 2026-03-17 22:52:39,790 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-17 22:52:39,791 ] 65 root - INFO - Starting data transformation
[ 2026-03-17 22:52:39,871 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-17 22:52:39,872 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-17 22:52:39,896 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 22:52:39,902 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 22:52:39,903 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 22:52:39,908 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 22:52:39,911 ] 35 root - INFO - data Transformation completed
[ 2026-03-17 22:52:39,912 ] 37 root - INFO - Model Training sstared
[ 2026-03-17 22:56:22,386 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 22:56:22,386 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 22:56:22,387 ] 152 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_17_2026_22_52_13\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.991523713420787, precision_score=0.9883323274994971, recall_score=0.9947357764729703), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.974025974025974, precision_score=0.9630818619582665, recall_score=0.9852216748768473))
[ 2026-03-17 22:56:22,388 ] 42 root - INFO - Model Training artifact created
